role,haidt,role_start,occurences
Actor,Harm,sub,1
Actor,Loyalty,sub,1
Agent,Authority,obj,1
Agent,Betrayal,sub,6
Agent,Care,obj,6
Agent,Care,sub,15
Agent,Fairness,obj,2
Agent,Fairness,sub,6
Agent,Harm,obj,20
Agent,Harm,sub,57
Agent,Loyalty,obj,2
Agent,Loyalty,sub,7
Agent,Oppression,obj,2
Agent,Oppression,sub,4
Cause,Care,sub,1
Cause,Harm,sub,4
Cause,Oppression,sub,1
Destination,Care,obj,2
Destination,Harm,obj,1
Destination,Oppression,obj,1
Experiencer,Fairness,sub,2
Experiencer,Harm,sub,2
Instrument,Harm,obj,1
Location,Care,obj,3
Location,Harm,obj,4
Location,Loyalty,obj,1
Patient,Care,obj,4
Patient,Fairness,obj,3
Patient,Harm,obj,6
Patient,Oppression,obj,1
Predicate,Harm,obj,1
Recipient,Care,sub,1
Stimulus,Care,obj,1
Stimulus,Harm,obj,1
Theme,Betrayal,obj,2
Theme,Care,obj,6
Theme,Care,sub,1
Theme,Fairness,obj,2
Theme,Harm,obj,26
Theme,Harm,sub,6
Theme,Loyalty,obj,2
Theme,Oppression,obj,4
Topic,Fairness,obj,1
Topic,Loyalty,obj,1
